Location,Land_cover,Biome,Biogeogr,Country,Latitude,Longitude,Elevation,Abundance,Richness,Seasons,Years,PresAbs,Rodents
ZAF_Karoo4,Rangeland,Nama-Karoo,Southern,South_Africa,-33.233,22.617,850,3,1,2,1,0,1
ZAF_Karoo5,Rangeland,Succulent-Karoo,Southern,South_Africa,-33.45,20.05,800,11,1,2,1,0,1
ZAF_Karoo6,Rangeland,Succulent-Karoo,Southern,South_Africa,-33.167,19.733,700,33,2,2,1,0,1
ZAF_Knersvlakte,Natural,Succulent-Karoo,Southern,South_Africa,-31.4,18.5,250,41,2,1,1,0,1
ZAF_Mankwe,Natural,Savanna,Southern,South_Africa,-25.25,27.283,1100,24,2,2,3,0,1
ZAF_Mariepskop,Natural,Montane,Southern,South_Africa,-24.5,30.967,1700,13,2,1,1,0,1
ZAF_MtZebra,Natural,Montane,Southern,South_Africa,-32.3,25.4,1800,10,1,2,2,0,1
ZAF_Nossob,Natural,Savanna,Southern,South_Africa,-25.417,20.599,950,3,1,1,1,0,1
ZAF_Nyslvley,Natural,Savanna,Southern,South_Africa,-24.64,28.68,1100,1,1,1,1,0,1
ZAF_Phinda,Natural,Savanna,Southern,South_Africa,-27.75,32.3,50,53,5,2,2,0,1
ZAF_Pretoriuskop,Natural,Savanna,Zambezian,South_Africa,-25.17,31.29,600,9,2,1,1,0,1
ZAF_RichardsBay,Degraded,Forest,Southern,South_Africa,-28.7156,32.1847,50,52,3,2,2,0,1
ZAF_Rolfontein,Natural,Grassland,Southern,South_Africa,-30.009,24.765,1250,69,2,2,2,0,1
ZAF_Satara,Natural,Savanna,Zambezian,South_Africa,-24.39,31.79,250,5,1,1,1,0,1
ZAF_Sneeuberg,Natural,Montane,Southern,South_Africa,-31.7,24.633,1800,25,2,2,2,0,1
ZAF_Soutpansberg,Natural,Montane,Southern,South_Africa,-23.034,29.431,1400,36,3,2,2,0,1
ZAF_Swartberg,Natural,Fynbos,Southern,South_Africa,-33.33,22.05,1200,18,1,1,1,0,1
ZAF_Telperion,Natural,Grassland,Southern,South_Africa,-25.633,28.883,1400,24,3,2,1,0,1
ZAF_Wakefield,Natural,Montane,Southern,South_Africa,-29.48,29.89,1450,86,2,2,1,0,1
ZAF_WillemPretorius,Natural,Grassland,Southern,South_Africa,-28.3,27.18,1400,8,1,2,2,0,1
ZMB_Kafue1,Natural,Savanna,Zambezian,Zambia,-14.383,26.041,1100,4,1,1,1,0,1
ZMB_Kafue2,Natural,Savanna,Zambezian,Zambia,-14.208,25.656,1100,5,3,1,1,0,1
ZMB_Kafue3,Natural,Savanna,Zambezian,Zambia,-14.297,25.92,1100,6,3,1,1,0,1
ZWE_Sengwa,Natural,Savanna,Zambezian,Zimbabwe,-18.167,28.233,900,14,2,2,2,0,1
