"","Site","alt","alt_rough","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","Location","Land_cover","Biome","Biogeogr","Country","Latitude","Longitude","Elevation","Abundance","Richness","Seasons","Years","PresAbs","Shrews"
"91","91",397,213,254,270,242,2367,426,9,80,1201,39,361,1201,119,62,1194,351,160,191,242,249,"SLE_Bumbuna2","Mixed","Forest-savanna","Sudanian","Sierra_Leone",9.32,-11.527,320,11,5,1,1,0,1
"92","92",282,186,256,265,245,2611,431,17,64,1182,112,318,1182,104,74,784,332,192,140,245,258,"SLE_Gola1","Natural","Rainforest","Congolian","Sierra_Leone",7.649,-10.775,150,54,8,1,1,0,1
"93","93",255,86,259,268,248,2561,415,15,63,1142,106,318,1142,108,72,784,337,189,148,248,258,"SLE_Gola2","Natural","Rainforest","Congolian","Sierra_Leone",7.772,-10.714,150,30,4,1,1,0,1
"94","94",48,5,279,295,261,537,124,3,87,267,19,140,86,125,73,1309,373,204,169,280,294,"SOM_Jubba","Natural","Savanna","Somalian","Somalia",1.067,42.583,20,63,5,1,1,0,1
"95","95",661,139,191,222,151,919,150,13,67,421,45,421,45,122,59,2792,276,71,205,222,151,"SWZ_Edwaleni","Natural","Savanna","Southern","Eswatini",-26.546,31.261,750,283,6,2,3,0,1
"96","96",250,57,222,255,181,662,125,8,70,324,30,324,30,122,57,2913,313,102,211,255,181,"SWZ_Lowveld","Mixed","Savanna","Southern","Eswatini",-26.22,31.88,300,1547,7,2,1,0,1
"97","97",642,456,198,231,154,1205,197,16,68,580,60,580,60,122,57,3056,285,73,212,231,154,"SWZ_Maguga","Natural","Savanna","Southern","Eswatini",-26.067,31.27,650,184,7,2,2,0,1
"98","98",181,210,226,258,186,657,127,7,71,325,32,325,32,123,58,2759,318,109,209,258,186,"SWZ_Mlawula","Natural","Savanna","Southern","Eswatini",-26.208,32,150,394,5,2,2,0,1
"99","99",410,4,277,308,259,892,254,0,115,615,0,99,2,152,62,2035,396,154,242,260,264,"TCD_Zakouma","Natural","Sudanian_savanna","Sudanian","Chad",10.5,19.8,430,400,8,1,1,0,1
"100","100",856,149,225,241,201,806,135,4,78,385,23,375,29,129,71,1600,310,130,180,240,205,"TZA_Berega","Agricultural","Savanna","Zambezian","Tanzania",-6.167,37.133,880,2585,10,2,3,0,0
"101","101",954,41,260,270,243,988,208,0,94,520,0,155,0,116,69,1096,335,169,166,264,243,"TZA_Katavi","Mixed","Savanna","Zambezian","Tanzania",-6.8,31,1000,636,16,2,2,0,1
"102","102",2088,1230,156,173,135,1202,233,10,83,529,34,367,34,106,67,1500,238,82,156,167,135,"TZA_Kilimanjaro1","Natural","Montane","Zambezian","Tanzania",-3.225,37.459,2200,6,6,2,1,1,1
"103","103",2687,1529,121,136,100,1323,252,12,80,564,41,398,42,100,67,1398,198,49,149,130,102,"TZA_Kilimanjaro2","Natural","Montane","Zambezian","Tanzania",-3.186,37.463,2700,6,6,2,1,1,1
"104","104",3401,1746,79,94,60,1516,278,23,72,617,74,445,76,93,65,1326,153,12,141,87,62,"TZA_Kilimanjaro3","Natural","Montane","Zambezian","Tanzania",-3.145,37.46,3500,4,4,2,1,1,1
